"","state","date","month","recovered.cases","active.cases","incident.rate","people.tested","people.hospitalized","mortality.rate","testing.rate","hospitalization.rate"
"5332","Missouri",2020-10-11,10,NA,143514,2377.83644875345,2075699,NA,1.6609793199852,33820.3397253703,NA
"5333","Missouri",2020-10-12,10,NA,143730,2381.35583830882,2075699,NA,1.65852456997414,33820.3397253703,NA
"5334","Missouri",2020-10-13,10,NA,143935,2384.69599969238,2075699,NA,1.65620153184977,33820.3397253703,NA
"5335","Missouri",2020-10-14,10,NA,148250,2456.95753986849,2206374,NA,1.68706977731209,35949.4889390148,NA
"5336","Missouri",2020-10-15,10,NA,150202,2487.39374213433,2222854,NA,1.6114029686497,36218.005327313,NA
"5337","Missouri",2020-10-16,10,NA,152446,2524.23327817451,2222854,NA,1.598858787914,36218.005327313,NA
"5338","Missouri",2020-10-17,10,NA,154527,2559.83451048224,2266988,NA,1.64281895256766,36937.1013395188,NA
"5339","Missouri",2020-10-18,10,NA,156363,2589.92854987464,2285067,NA,1.63065018401434,37231.6709866087,NA
"5340","Missouri",2020-10-19,10,NA,157837,2614.07547265728,2296674,NA,1.62057380778748,37420.7892947991,NA
"5341","Missouri",2020-10-20,10,NA,159224,2637.08185252845,2296674,NA,1.62188212469648,37420.7892947991,NA
"5342","Missouri",2020-10-21,10,NA,160625,2660.31634098192,2326868,NA,1.62302863267494,37912.7543329225,NA
"5343","Missouri",2020-10-22,10,NA,162545,2691.84420574873,2346490,NA,1.61309848072151,38232.4648044751,NA
"5344","Missouri",2020-10-23,10,NA,164496,2724.15415708339,2363811,NA,1.61310581184619,38514.684001181,NA
"5345","Missouri",2020-10-24,10,NA,167021,2767.10374443497,2388281,NA,1.65342785978838,38913.3852160873,NA
"5346","Missouri",2020-10-25,10,NA,168976,2799.15300024701,2406847,NA,1.64148175743323,39215.8897831469,NA
"5347","Missouri",2020-10-26,10,NA,170698,2827.14518198829,2420611,NA,1.62292379865602,39440.1531064804,NA
